t,T,S,P
2016/8/1 0:00,11.15151515,0.221052632,0
2016/8/1 0:15,11.03030303,0.2,0
2016/8/1 0:30,10.94949495,0.178947368,0
2016/8/1 0:45,10.86868687,0.157894737,0
2016/8/1 1:00,10.74747475,0.136842105,0
2016/8/1 1:15,10.66666667,0.115789474,0
2016/8/1 1:30,10.58585859,0.094736842,0
2016/8/1 1:45,10.50505051,0.052631579,0
2016/8/1 2:00,10.42424242,0.031578947,0
2016/8/1 2:15,10.34343434,0.010526316,0
2016/8/1 2:30,10.26262626,0.010526316,0
2016/8/1 2:45,10.14141414,0.031578947,0
2016/8/1 3:00,10.06060606,0.052631579,0
2016/8/1 3:15,9.97979798,0.052631579,0
2016/8/1 3:30,9.8989899,0.073684211,0
2016/8/1 3:45,9.85858586,0.094736842,0
2016/8/1 4:00,9.77777778,0.094736842,0
2016/8/1 4:15,9.73737374,0.094736842,0
2016/8/1 4:30,9.65656566,0.094736842,0
2016/8/1 4:45,9.61616162,0.115789474,0
2016/8/1 5:00,9.57575758,0.115789474,0
2016/8/1 5:15,9.53535354,0.115789474,0
2016/8/1 5:30,9.53535354,0.094736842,0
2016/8/1 5:45,9.53535354,0.094736842,0
2016/8/1 6:00,9.49494949,0.094736842,0
2016/8/1 6:15,9.53535354,0.073684211,0
2016/8/1 6:30,9.57575758,0.052631579,0.003222167
2016/8/1 6:45,9.65656566,0.052631579,0.0205555
2016/8/1 7:00,9.6969697,0.031578947,0.038666667
2016/8/1 7:15,9.73737374,0.010526316,0.059166667
2016/8/1 7:30,9.85858586,0.010526316,0.100833333
2016/8/1 7:45,9.97979798,0.052631579,0.166277833
2016/8/1 8:00,10.06060606,0.073684211,0.248111667
2016/8/1 8:15,10.18181818,0.094736842,0.346945
2016/8/1 8:30,10.34343434,0.136842105,0.451055
2016/8/1 8:45,10.50505051,0.157894737,0.554388333
2016/8/1 9:00,10.66666667,0.178947368,0.6565
2016/8/1 9:15,10.86868687,0.2,0.751221667
2016/8/1 9:30,11.07070707,0.221052632,0.846388333
2016/8/1 9:45,11.23232323,0.242105263,0.932388333
2016/8/1 10:00,11.43434343,0.263157895,1.008666667
2016/8/1 10:15,11.63636364,0.284210526,1.079833333
2016/8/1 10:30,11.7979798,0.305263158,1.143721667
2016/8/1 10:45,11.95959596,0.347368421,1.200555
2016/8/1 11:00,12.16161616,0.368421053,1.249333333
2016/8/1 11:15,12.32323232,0.389473684,1.295445
2016/8/1 11:30,12.48484848,0.410526316,1.335555
2016/8/1 11:45,12.60606061,0.431578947,1.231
2016/8/1 12:00,12.76767677,0.452631579,1.351945
2016/8/1 12:15,12.92929293,0.473684211,1.264945
2016/8/1 12:30,13.05050505,0.494736842,1.247833333
2016/8/1 12:45,13.17171717,0.515789474,1.241945
2016/8/1 13:00,13.29292929,0.536842105,1.234166667
2016/8/1 13:15,13.37373737,0.557894737,1.239445
2016/8/1 13:30,13.45454545,0.578947368,1.227055
2016/8/1 13:45,13.57575758,0.578947368,1.204945
2016/8/1 14:00,13.65656566,0.578947368,1.187611667
2016/8/1 14:15,13.73737374,0.6,1.185111667
2016/8/1 14:30,13.81818182,0.6,1.173
2016/8/1 14:45,13.85858586,0.621052632,1.143945
2016/8/1 15:00,13.93939394,0.621052632,1.141721667
2016/8/1 15:15,14.02020202,0.621052632,1.1995
2016/8/1 15:30,14.06060606,0.621052632,1.245388333
2016/8/1 15:45,14.1010101,0.621052632,1.192333333
2016/8/1 16:00,14.18181818,0.621052632,1.140555
2016/8/1 16:15,14.18181818,0.621052632,1.074611667
2016/8/1 16:30,14.18181818,0.621052632,0.992333333
2016/8/1 16:45,14.18181818,0.621052632,0.927166667
2016/8/1 17:00,14.18181818,0.621052632,0.839388333
2016/8/1 17:15,14.18181818,0.621052632,0.748666667
2016/8/1 17:30,14.14141414,0.621052632,0.668111667
2016/8/1 17:45,14.1010101,0.6,0.559333333
2016/8/1 18:00,14.06060606,0.6,0.461
2016/8/1 18:15,13.97979798,0.6,0.360111667
2016/8/1 18:30,13.8989899,0.578947368,0.258778333
2016/8/1 18:45,13.81818182,0.578947368,0.1725
2016/8/1 19:00,13.73737374,0.578947368,0.099611167
2016/8/1 19:15,13.65656566,0.557894737,0.056777833
2016/8/1 19:30,13.53535354,0.536842105,0.040388833
2016/8/1 19:45,13.41414141,0.536842105,0.0275
2016/8/1 20:00,13.29292929,0.515789474,0.013166667
2016/8/1 20:15,13.17171717,0.494736842,0
2016/8/1 20:30,13.01010101,0.473684211,0
2016/8/1 20:45,12.84848485,0.452631579,0
2016/8/1 21:00,12.72727273,0.431578947,0
2016/8/1 21:15,12.56565657,0.410526316,0
2016/8/1 21:30,12.44444444,0.389473684,0
2016/8/1 21:45,12.28282828,0.347368421,0
2016/8/1 22:00,12.12121212,0.326315789,0
2016/8/1 22:15,11.95959596,0.305263158,0
2016/8/1 22:30,11.83838384,0.284210526,0
2016/8/1 22:45,11.71717172,0.263157895,0
2016/8/1 23:00,11.55555556,0.221052632,0
2016/8/1 23:15,11.43434343,0.2,0
2016/8/1 23:30,11.31313131,0.178947368,0
2016/8/1 23:45,11.19191919,0.157894737,0
2016/8/2 0:00,11.03030303,0.094736842,0
