t,P
2017/4/2 0:00,0.36
2017/4/2 0:15,0.36
2017/4/2 0:30,0.36
2017/4/2 0:45,0.36
2017/4/2 1:00,0.36
2017/4/2 1:15,0.36
2017/4/2 1:30,0.36
2017/4/2 1:45,0.36
2017/4/2 2:00,0.36
2017/4/2 2:15,0.36
2017/4/2 2:30,0.36
2017/4/2 2:45,0.36
2017/4/2 3:00,0.36
2017/4/2 3:15,0.36
2017/4/2 3:30,0.36
2017/4/2 3:45,0.36
2017/4/2 4:00,0.36
2017/4/2 4:15,0.36
2017/4/2 4:30,0.36
2017/4/2 4:45,0.36
2017/4/2 5:00,0.36
2017/4/2 5:15,0.36
2017/4/2 5:30,0.36
2017/4/2 5:45,0.36
2017/4/2 6:00,0.36
2017/4/2 6:15,0.36
2017/4/2 6:30,0.36
2017/4/2 6:45,0.36
2017/4/2 7:00,0.36
2017/4/2 7:15,0.36
2017/4/2 7:30,0.36
2017/4/2 7:45,0.36
2017/4/2 8:00,0.82
2017/4/2 8:15,0.82
2017/4/2 8:30,0.82
2017/4/2 8:45,0.82
2017/4/2 9:00,0.82
2017/4/2 9:15,0.82
2017/4/2 9:30,0.82
2017/4/2 9:45,0.82
2017/4/2 10:00,0.82
2017/4/2 10:15,0.82
2017/4/2 10:30,0.82
2017/4/2 10:45,0.82
2017/4/2 11:00,0.36
2017/4/2 11:15,0.36
2017/4/2 11:30,0.36
2017/4/2 11:45,0.36
2017/4/2 12:00,0.36
2017/4/2 12:15,0.36
2017/4/2 12:30,0.36
2017/4/2 12:45,0.36
2017/4/2 13:00,0.56
2017/4/2 13:15,0.56
2017/4/2 13:30,0.56
2017/4/2 13:45,0.56
2017/4/2 14:00,0.56
2017/4/2 14:15,0.56
2017/4/2 14:30,0.56
2017/4/2 14:45,0.56
2017/4/2 15:00,0.56
2017/4/2 15:15,0.56
2017/4/2 15:30,0.56
2017/4/2 15:45,0.56
2017/4/2 16:00,0.56
2017/4/2 16:15,0.56
2017/4/2 16:30,0.56
2017/4/2 16:45,0.56
2017/4/2 17:00,0.56
2017/4/2 17:15,0.56
2017/4/2 17:30,0.56
2017/4/2 17:45,0.56
2017/4/2 18:00,0.56
2017/4/2 18:15,0.56
2017/4/2 18:30,0.56
2017/4/2 18:45,0.56
2017/4/2 19:00,0.82
2017/4/2 19:15,0.82
2017/4/2 19:30,0.82
2017/4/2 19:45,0.82
2017/4/2 20:00,0.82
2017/4/2 20:15,0.82
2017/4/2 20:30,0.82
2017/4/2 20:45,0.82
2017/4/2 21:00,0.82
2017/4/2 21:15,0.82
2017/4/2 21:30,0.82
2017/4/2 21:45,0.82
2017/4/2 22:00,0.36
2017/4/2 22:15,0.36
2017/4/2 22:30,0.36
2017/4/2 22:45,0.36
2017/4/2 23:00,0.36
2017/4/2 23:15,0.36
2017/4/2 23:30,0.36
2017/4/2 23:45,0.36
2017/4/2 0:00,0.36
