t,T,S,P
2016/8/1 0:00,11.15151515,0.221052632,0.328639998
2016/8/1 0:15,11.03030303,0.2,0.411744959
2016/8/1 0:30,10.94949495,0.178947368,0.338088523
2016/8/1 0:45,10.86868687,0.157894737,0.468979864
2016/8/1 1:00,10.74747475,0.136842105,0.285959322
2016/8/1 1:15,10.66666667,0.115789474,0.351041997
2016/8/1 1:30,10.58585859,0.094736842,0.483276584
2016/8/1 1:45,10.50505051,0.052631579,0.410113787
2016/8/1 2:00,10.42424242,0.031578947,0.141930122
2016/8/1 2:15,10.34343434,0.010526316,0.097321703
2016/8/1 2:30,10.26262626,0.010526316,0.100045726
2016/8/1 2:45,10.14141414,0.031578947,0.195143099
2016/8/1 3:00,10.06060606,0.052631579,0.058789919
2016/8/1 3:15,9.97979798,0.052631579,0.176899353
2016/8/1 3:30,9.8989899,0.073684211,0.08311268
2016/8/1 3:45,9.85858586,0.094736842,0.103787691
2016/8/1 4:00,9.77777778,0.094736842,0.099767212
2016/8/1 4:15,9.73737374,0.094736842,0.097787258
2016/8/1 4:30,9.65656566,0.094736842,0.269863656
2016/8/1 4:45,9.61616162,0.115789474,0.199106651
2016/8/1 5:00,9.57575758,0.115789474,0.185339603
2016/8/1 5:15,9.53535354,0.115789474,0.107010766
2016/8/1 5:30,9.53535354,0.094736842,0.25490807
2016/8/1 5:45,9.53535354,0.094736842,0.100050305
2016/8/1 6:00,9.49494949,0.094736842,0.064391134
2016/8/1 6:15,9.53535354,0.073684211,0.132158358
2016/8/1 6:30,9.57575758,0.052631579,0.249829685
2016/8/1 6:45,9.65656566,0.052631579,0.062533585
2016/8/1 7:00,9.6969697,0.031578947,0.075224304
2016/8/1 7:15,9.73737374,0.010526316,0.044715445
2016/8/1 7:30,9.85858586,0.010526316,0.089616728
2016/8/1 7:45,9.97979798,0.052631579,0.432490495
2016/8/1 8:00,10.06060606,0.073684211,0.036481063
2016/8/1 8:15,10.18181818,0.094736842,0.603548422
2016/8/1 8:30,10.34343434,0.136842105,0.568189388
2016/8/1 8:45,10.50505051,0.157894737,0.340073628
2016/8/1 9:00,10.66666667,0.178947368,0.536979254
2016/8/1 9:15,10.86868687,0.2,0.452405656
2016/8/1 9:30,11.07070707,0.221052632,0.563322978
2016/8/1 9:45,11.23232323,0.242105263,0.707620594
2016/8/1 10:00,11.43434343,0.263157895,0.707521481
2016/8/1 10:15,11.63636364,0.284210526,0.379109911
2016/8/1 10:30,11.7979798,0.305263158,0.586076561
2016/8/1 10:45,11.95959596,0.347368421,0.446812645
2016/8/1 11:00,12.16161616,0.368421053,0.542395156
2016/8/1 11:15,12.32323232,0.389473684,0.261290079
2016/8/1 11:30,12.48484848,0.410526316,0.006993588
2016/8/1 11:45,12.60606061,0.431578947,0.090104511
2016/8/1 12:00,12.76767677,0.452631579,0.120853343
